epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,114.332,1.31774,0.81736,0.96842,0.85596,0.73684,0.73149,0.36191,1.89785,1.18767,1.36442,0.0017954,0.0017954,0.0017954
64,116.488,1.37589,0.87699,1.05725,0.86818,0.73684,0.69891,0.32819,1.86226,1.20893,1.29541,0.0017921,0.0017921,0.0017921
65,118.258,1.45141,0.88757,1.00682,0.87008,0.73684,0.69996,0.32076,1.79839,1.2285,1.26636,0.0017888,0.0017888,0.0017888
66,119.754,1.26378,0.77703,1.00444,0.91647,0.73684,0.71628,0.36122,1.87748,1.29654,1.28333,0.0017855,0.0017855,0.0017855
67,121.249,1.26554,0.77509,1.00669,0.91931,0.73684,0.73712,0.34885,1.92685,1.26469,1.2896,0.0017822,0.0017822,0.0017822
68,122.84,1.32064,0.92159,1.0006,0.87103,0.73684,0.7913,0.4097,1.79987,1.2223,1.25187,0.0017789,0.0017789,0.0017789
69,124.373,1.20073,0.7324,0.95572,0.80516,0.68421,0.69332,0.36072,1.85136,1.21838,1.32735,0.0017756,0.0017756,0.0017756
70,126.06,1.20977,0.85656,0.96571,0.86951,0.73684,0.77185,0.35801,1.89137,1.18867,1.3577,0.0017723,0.0017723,0.0017723
71,128.286,1.16167,0.73565,0.94016,0.87012,0.70603,0.7716,0.38203,1.90922,1.16864,1.35095,0.001769,0.001769,0.001769
72,130.606,1.21043,0.77649,0.9477,0.91925,0.68421,0.75857,0.38973,1.76405,1.31898,1.31098,0.0017657,0.0017657,0.0017657
73,132.222,1.15131,0.71734,0.94448,0.82199,0.72952,0.74699,0.3848,1.75363,1.30781,1.34179,0.0017624,0.0017624,0.0017624
74,133.837,1.12529,0.70885,0.97623,0.69927,0.73441,0.64051,0.26379,1.76956,1.51745,1.35855,0.0017591,0.0017591,0.0017591
75,135.495,1.16809,0.73405,0.95931,0.60153,0.73684,0.6069,0.2413,1.74791,1.56134,1.36854,0.0017558,0.0017558,0.0017558
76,136.988,1.22929,0.74341,0.94421,0.72111,0.63158,0.6364,0.28548,1.76129,1.55171,1.35033,0.0017525,0.0017525,0.0017525
77,138.517,1.18722,0.74949,0.96506,0.72718,0.73684,0.72507,0.32142,1.8635,1.30163,1.3795,0.0017492,0.0017492,0.0017492
78,140.099,1.24351,0.76764,0.97262,0.85346,0.63158,0.67442,0.31929,1.85667,1.23289,1.42993,0.0017459,0.0017459,0.0017459
79,142.465,1.19024,0.74735,0.96959,0.8497,0.63158,0.68267,0.32355,1.84836,1.19658,1.43111,0.0017426,0.0017426,0.0017426
80,144.736,1.17101,0.7153,0.95843,0.9273,0.68421,0.76452,0.32718,1.86268,1.15543,1.42357,0.0017393,0.0017393,0.0017393
81,146.289,1.09533,0.68783,0.92074,0.92603,0.68421,0.77784,0.34982,1.87354,1.18468,1.3944,0.001736,0.001736,0.001736
82,147.848,1.17099,0.70441,0.96467,0.88553,0.68421,0.78604,0.37501,1.92575,1.47456,1.3509,0.0017327,0.0017327,0.0017327
83,149.447,1.12081,0.67517,0.94963,0.8693,0.73684,0.78899,0.35367,1.92558,1.68058,1.35729,0.0017294,0.0017294,0.0017294
84,151.061,1.16161,0.67742,0.94094,0.87409,0.73106,0.7815,0.34561,1.93852,1.64375,1.33358,0.0017261,0.0017261,0.0017261
85,152.68,1.10516,0.64477,0.92999,0.822,0.68421,0.77073,0.33937,1.85331,1.46368,1.28333,0.0017228,0.0017228,0.0017228
86,154.293,1.19662,0.71842,0.95927,0.81093,0.63158,0.66158,0.29827,2.02163,1.45228,1.40234,0.0017195,0.0017195,0.0017195
87,156.546,1.15368,0.70168,0.92249,0.81921,0.68421,0.67039,0.29032,1.94752,1.45388,1.3668,0.0017162,0.0017162,0.0017162
88,158.914,1.13353,0.70881,0.95308,0.81798,0.73684,0.7837,0.3333,1.79167,1.13921,1.25956,0.0017129,0.0017129,0.0017129
89,160.696,1.17219,0.73144,0.94537,0.93289,0.732,0.8182,0.38261,1.76071,1.09545,1.23846,0.0017096,0.0017096,0.0017096
90,162.194,1.22273,0.74716,0.92078,0.93447,0.73684,0.83582,0.39638,1.72148,1.05818,1.20886,0.0017063,0.0017063,0.0017063
91,163.867,1.08132,0.69669,0.92941,1,0.72509,0.8344,0.39383,1.77462,1.23415,1.23501,0.001703,0.001703,0.001703
92,165.402,1.19127,0.69831,0.93558,0.85494,0.73684,0.81147,0.36354,1.73387,1.30039,1.21769,0.0016997,0.0016997,0.0016997
93,166.855,1.18295,0.74442,0.97427,0.86357,0.73684,0.806,0.37933,1.76917,1.16919,1.22103,0.0016964,0.0016964,0.0016964
94,168.394,1.10452,0.706,0.95226,0.85123,0.68421,0.70533,0.37764,1.73436,1.04515,1.22558,0.0016931,0.0016931,0.0016931
95,170.265,1.17401,0.76838,0.96438,0.88779,0.68421,0.71171,0.3817,1.70649,1.03899,1.19922,0.0016898,0.0016898,0.0016898
96,172.411,1.15391,0.68734,0.91891,0.92244,0.73684,0.80917,0.38551,1.72829,1.09151,1.17117,0.0016865,0.0016865,0.0016865
97,174.491,1.08157,0.65507,0.9229,0.92459,0.73684,0.81556,0.39417,1.74018,1.12727,1.1836,0.0016832,0.0016832,0.0016832
98,176.136,1.033,0.65797,0.91271,0.9681,0.73684,0.8198,0.40021,1.71959,1.18577,1.17115,0.0016799,0.0016799,0.0016799
99,177.715,1.15583,0.70042,0.98579,0.93963,0.73684,0.80324,0.38397,1.70613,1.31123,1.18026,0.0016766,0.0016766,0.0016766
100,179.244,1.11087,0.65956,0.96303,0.96957,0.73684,0.77288,0.39515,1.70785,1.45086,1.17437,0.0016733,0.0016733,0.0016733
101,180.865,1.09009,0.63961,0.91221,0.98563,0.73684,0.76244,0.39634,1.67213,1.46564,1.1604,0.00167,0.00167,0.00167
102,182.525,1.09661,0.61648,0.95369,0.96936,0.68421,0.74337,0.37705,1.73155,1.33518,1.2268,0.0016667,0.0016667,0.0016667
103,184.577,1.07562,0.64637,0.91916,0.97879,0.68421,0.72568,0.35781,1.75051,1.17611,1.28725,0.0016634,0.0016634,0.0016634
104,186.614,1.119,0.73194,0.93298,0.83824,0.63158,0.66725,0.34777,1.78793,1.22429,1.37264,0.0016601,0.0016601,0.0016601
105,188.896,1.14177,0.64655,0.9578,0.75146,0.63158,0.67116,0.34902,1.86538,1.24294,1.41797,0.0016568,0.0016568,0.0016568
106,190.689,1.25294,0.67329,0.95213,0.92152,0.61876,0.71873,0.37389,1.8241,1.14016,1.33471,0.0016535,0.0016535,0.0016535
107,192.159,1.12749,0.6885,0.91282,0.92304,0.63127,0.72374,0.37065,1.81079,1.07544,1.31946,0.0016502,0.0016502,0.0016502
108,193.732,1.11909,0.66529,0.95026,0.90408,0.63158,0.74871,0.35329,1.85562,1.06692,1.32123,0.0016469,0.0016469,0.0016469
109,195.589,1.10582,0.65353,0.94787,0.98704,0.68421,0.82777,0.37639,1.83385,1.06557,1.27411,0.0016436,0.0016436,0.0016436
110,197.035,1.06955,0.60963,0.93422,0.98568,0.68421,0.81971,0.39962,1.84334,1.03479,1.26944,0.0016403,0.0016403,0.0016403
111,198.917,1.12766,0.62821,0.92312,0.97963,0.68421,0.81458,0.39127,1.87967,1.02806,1.2811,0.001637,0.001637,0.001637
112,201.278,1.0441,0.60998,0.91029,0.99273,0.73684,0.82224,0.39515,1.8431,1.06649,1.27125,0.0016337,0.0016337,0.0016337
113,203.375,1.12565,0.64385,0.94457,1,0.73323,0.81976,0.39149,1.85856,1.12086,1.30202,0.0016304,0.0016304,0.0016304
114,204.837,1.224,0.64578,0.92946,0.98633,0.73684,0.81461,0.39062,1.86446,1.08031,1.31552,0.0016271,0.0016271,0.0016271
115,206.406,1.06334,0.60192,0.91204,0.98822,0.73684,0.82248,0.39098,1.83691,1.08328,1.29401,0.0016238,0.0016238,0.0016238
116,207.927,1.04999,0.61488,0.93054,0.98845,0.73684,0.82476,0.38878,1.86624,1.04999,1.30917,0.0016205,0.0016205,0.0016205
117,209.498,1.059,0.61985,0.92731,0.99083,0.73684,0.83065,0.40564,1.78799,0.99406,1.2764,0.0016172,0.0016172,0.0016172
118,211.166,1.08484,0.65889,0.9308,1,0.73415,0.83892,0.43315,1.77336,0.91009,1.27539,0.0016139,0.0016139,0.0016139
119,212.794,1.07635,0.69284,0.91476,0.93306,0.73384,0.8491,0.43005,1.76671,0.97075,1.28006,0.0016106,0.0016106,0.0016106
120,215.017,1.10669,0.60597,0.92454,0.93306,0.73379,0.82325,0.44074,1.74564,1.08883,1.28057,0.0016073,0.0016073,0.0016073
121,217.32,1.01101,0.6123,0.89833,0.93304,0.73362,0.80742,0.44,1.73032,1.11383,1.26076,0.001604,0.001604,0.001604
122,218.861,1.14671,0.6819,0.94602,0.93328,0.73627,0.82157,0.4129,1.69857,1.10811,1.24135,0.0016007,0.0016007,0.0016007
123,220.629,1.09028,0.59878,0.93619,0.9285,0.73684,0.8145,0.38082,1.74271,1.13414,1.26159,0.0015974,0.0015974,0.0015974
124,222.1,1.11151,0.6213,0.91279,0.93168,0.73684,0.80318,0.39615,1.74419,1.20893,1.2371,0.0015941,0.0015941,0.0015941
125,223.734,1.17671,0.68438,0.91296,0.86775,0.73684,0.78954,0.38303,1.73549,1.15437,1.2028,0.0015908,0.0015908,0.0015908
126,225.34,1.16892,0.67872,1.00502,0.86867,0.73684,0.74903,0.32899,1.77629,1.21155,1.24609,0.0015875,0.0015875,0.0015875
